"treat","text"
0,"I think sending him to prison would be a waste of taxpayer money. I think he should be deported immediately."
0,"A worker had decided it was better to tell fellow inmates that he was in prison for a shooting & convicted of illegally entering."
1,"I think he should be deported again, because housing him in prison costs the country money that could be better spent on programs for citizens and infrastructure. Also, once released from prison he might just try to return to the country again. So if he's deported now, the country can save money (instead of housing him for years at great cost), and there's a small chance he might be deterred from trying to return to the country again. "
1,"First of all he was not willing to take the steps to enter the United States legally. He also had previously served multiple prison terms for violet crimes which resulted in his deportation. This man seems like a potentially dangerous individual who should not be left to roam free."
1,"I believe this person should go to prison/be deported again. Convictions of violent crime are more serious and he should not have a chance to become a citizen."
1,"I think this person should be sent to prison mainly for his previous convictions. If he had of not committed a violent crime prior, I would have been more lenient on the person. This person has a history of violating laws."
0,"The person should not be sent to prison. He/she should be processed and deported back to the country they came from."
1,"The phrase illegally entered would have not fully convinced me that this person needed to go to prison. The prior convictions indicates a pattern, unless a character witness can show these violent crimes were separated by many years and said person lived in a violent area where sometimes self defense is needed, this person should either be deported or go to prison."
1,"He has a record of violence and has already been deported clearly he will continue to repeat it over again. Yes he needs a punishment ."
1,"He illegally came into the United States, and have a record. He's a danger to society. He should be deported back, and be locked in a jail, in whatever country he is from."
0,"Deportation seems to be the natural way to handle this. Prisons are too crowded to have to handle such cases."
0,"We need more information before taking action, this an interview with ICE officials is the first step. What country is he from? Is he a political refugee? Is he fleeing other persecution such as religious or """"social"""" (is he LGBT?). Does he have family or loved ones in the US? 

Basically, many questions to be answered before deciding."
1,"He should be sent back to his country. No use in wasting resources if he isn't supposed to be here anyway"
0,"No, but he should be deported and sent back to where he came from. I don't think sneaking into the country should be punishable by prison time. "
0,"I think he should serve at least six month in prison. I feel like it is wrong to enter illegally into the country."
1,"The person committed a crime.  Period.  If an act is illegal, then the person committing the illegal act should be subject to the punishment associated with the crime.  There should not be special consideration for immigration status.  You come to this country, you commit a crime, you are subject to punishment for that crime."
0,"In my view he is entering  illegally to United States. That is not expected one as per US laws. If he has valid entry level permission then he is Ok."
1,"If he broke the law he should serve whatever the prison penalty is for this crime.  He entered the country illegally, so whatever the penalty for that crime is should be served."
0,"Without knowing the circumstances of his arrival it is somewhat difficult to determine punishment. My first reaction would be deportation. If he entered the country because of discrimination in his homeland I would attempt to find help for him."
1,"He has been coming to the US illegally and creating victims when he is here.  She should be sent to prison."
0,"I feel he should just be deported and not given jail time. Although illegally entering the country is a crime, I do not think it justifies a jail sentence. "
1,"They should be killed for violating multiple law both at home and abroad. Sending him back would set him free and prisoning him would but a burden on the tax payers of the other country."
0,"He broke the law by entering the United States illegally.  By breaking the law, he became a criminal.  Criminals should go to prison.  "
0,"HE SHOULD NOT BE PRISON ED BECAUSE HE DOES NOT HAVE ANY ILLEGAL BACKGROUND OR PAST.HE MAY OR MAY NOT BE AN INNOCENT PERSON BUT IT IS ADVISABLE TO GIVE HIM A CHANCE TO GO BACK TO HIS OWN COUNTRY WITH LAST WARNING"
0,"I'm not sure because I don't know what kind of crime this man committed. If it was a petty crime then I would probably say no prison time and they should just be deported. because why would we pay to jail, feed, pay the prison guards, etc. for a petty crime of someone not even a citizen of our country. If it was however a violent crime then I would send them to prison according to the law, because I think other countries (some) aren't as strict as us and that violent person may just sneak back into the U.S. if deported and hurt someone else, and that seems more risky than just paying to incarcerate them for their crimes. At least then they can't hurt anyone else."
1,"I do believe that the best predictor of future behavior is past behavior. But that does not take into consideration change and growth. I believe that everyone is capable of change and growth so therefore I would need more before I would decide to sent them to prision"
0,"He should be sent to prison because he broke the law. The government should then deport him after he has done his time."
0,"This man should not be sent to prison because he has never done anything wrong before. He should be sent back to his country and told to legally apply for entry to the United States."
0,"The prison system is already over-crowded. I think that there could be a more effective deterrent than incarceration. The costs of imprisonment would be passed along to the tax payers, which is almost as bad as doing nothing about the illegal immigration."
0,"He hasn't done an offense that physically or mentally harmed anyone else, and he probably just wanted a better life. Deport him because he was caught, but that's it."
1,"Being here improperly is not a crime, so he should not be sent to prison. But if it's believed he poses a threat then he should be deported."
0,"I don't think he should be sent to prison since there was no other crime along with entering the US. I think he should be referred to immigration to get started on the naturalization process."
1,"They have already served their time for the previous offense. They should just be expelled from the country."
0,"Because he committed a CRIME. He should be sent to jail for 30 days, and then immediately deported. "
1,"Should be held in prison until he can be sent back to his country."
1,"THE US GOVERNMENT WAS WONDERFUL GOVERNMENT"
0,"He's not a violent criminal. It would be wasting resources to put him in jail. He should be sent back. his information could be taken."
0,"He should be punished with imprisonment because he broke the law. Entering the country illegally should be considered a serious offense. After imprisonment, he should be deported."
0,"He broke the law and illegally entered the country.  There are legal ways to enter the US and he broke the law so he should go to jail."
0,"His behavior was illegal.  People who break the law should be punished, and he should spend at least a month in prison."
0,"The crime of illegally entering the USA does not warrant Prison time.  At the very worst he should be sent back to his home country but there may be a valid reason for entering illegally and he should be asked if he can provide one. Such as a family illness or the death of loved one and he may have been unable to obtain a visa in time."
1,"He has broken the law and there should be some punishment.  If he is sent home he will just come back."
1,"I think he should be deported, or punished only for the crime of entering the US illegally. I don't think the punishment is a prison sentence in the US, so he should be deported. His previous crimes and sentences are irrelevant."
0,"because he didn't hurt anyone. also, he's never done any crimes before, so he's just a normal person"
1,"He was convicted of illegally entering the U.S. He already has a record on him. I want to say,""""Yes."""" He should be put in prison, but I am conflicted. Part of me wants to say, """"No."""" Why should he get free meals and healthcare in America even though he is in prison. That is more freedom that most Americans have. I am conflicted. We could deport him back, however he can always come back..."
1,"It seems to me that this person needs to again be sent back to their own country again. They seem to not understand that they are not welcome here. I would make it very clear that if they are found in the United States again that he will go to federal prison."
0,"He should be deported immediately. Imprisonment would cost the taxpayers."
1,"He is an illegal immigrant and therefore he broke the law just still being in this country.  The fact that he committed two crimes, one of which had he deported back to his native country, should definitely be used against him in pressing charges against the illegal immigrant.  The US government should press charges against the man and deport him again."
0,"For first offenses of illegal immigration, they should just be deported back to their country, assuming this does not account for temporary being held until their release back to the country they came from.  I feel like this, also illegal immigration is a serious issue, is a pretty minor first offense and should be treated as such."
1,"This individual has a prior criminal history in the US as a prior felon, and has been deported previously.  He should be again immediately be deported to his home country, without any additional prison time in the US.  Placing this person in a US prison as a non-citizen only taxes the US penal system."
0,"This is the United States, we shouldn't punish someone for wanting a better life.The government should instead give him the materials needed to take the citizenship test, and if he fails three times then they should deport him"
1,"The U.S. government has created a situation where foreign individuals become criminals in their country through an attempt to move from one place to another, which I disagree with. People who have already served their sentences for past crimes should not still be considered criminals, so a prison sentence is not called for in this case."
0,"He doesn't have a bad record or any history of wrong-doing.  He should be sent back to his country or be allowed time to get the legal documents to remain in the country if possible."
0,"He does not have any prior offenses. I don't think illegal immigration is a major crime."
0,"he should be sent back to his country.Entering illegally is not a crime according to USA laws"
0,"He illegally came to United States"
1,"Repeat offender. He obviously does not understand what a good citizen is."
0,"I think he should, at most, be sent back to his home country with no other punishment needed. He should also be encouraged to try and emigrate legally, and given information as to how to go about doing so if he would like."
0,"He has no previous criminal history, due to this he should not face prison time, rather just deportation. Had he had a criminal record I would have recommended prison time."
1,"Cant make up my mind either way. I just dont know what id do."
0,"Because the law has been broken and that is the punishment. If society doesn't like that, the law itself needs to change."
1,"Because he was illegally coming to the U.S. He also was held for a violent crime. We don't need this type of unnecessary acts added to our country, the U.S. We have other problems to deal with."
1,"This offender should be sent to prison for a long time.   They are a violent repeat offender.   They should be behind bars.   If they are so intent on being in the US, then they should be held to the same standard of punishment as a citizen."
0,"This person should be sent to prison for breaking the law. Then after they get out of prison they should be sent back to their country. Because if an American citizen breaks the law we are punished for our crimes. We aren't given special treatment, we're are expected to obey American laws. Not imprisoning them is unfair to American citizens who obey the laws, and unfair to immigrants who come here legally. "
0,"Prisons are already overcrowded and what he did was out of desperation but not as bad as say, murder. The government should just deport him back to his country instead of putting the burden of looking after him in prison on the American tax payers."
0,"This man should not be sent to prison. He should be returned to his country."
0,"he should be deported and sent back to his home country.
if he wants to come to the US, he needs to follow the rules to do so"
1,"This Offender should be sent to prison, because of illegally entering the United States."
1,"All the prison system does is profit from marginalized people. Secondly, why are we investing so much energy splitting hairs over immigration when the majority of the people in the US live like they're in a third world country?"
0,"I do not believe the man should be sent to prison. If he's never committed any other crime, and has been contributing to our economy, I don't see why he can't be left alone. I don't think any action should be taken."
0,"They should not be sent to prison because that just costs taxpayers a lot of money. They should be sent back to the country they came from instead."
1,"This man was already sentenced to prison. He also came here illegally which is already against the law."
0,"I think that this persons information should be entered into a database and they should be deported to their country of origin."
0,"It isnt worth our money and time to send him to our prison system.  It would be worth sending him back to his country and let his country deal with it."
0,"I and many others were fortunate enough to be born in the United States, therefore we get to stay no matter what. It should not be the fault of the individual in where they are born. He has no prior history of committing any crimes. All should be given the life of freedom unless otherwise proved to not deserve it, as many that are born US citizens show themselves to be but get to remain as US citizens."
0,"he committed no other crime other than entering illegally. He did not kill any one."
1,"They should rehab him. Give him a good education."
0,"I don't think he should serve prison time, but that he should be sent back to his own country."
0,"The US government should detain the man for a specific period of time to ensure that he is not entering the country for the purpose of performing other illegal activities (such as drug smuggling, etc.). If his intention is established as non-threatening or non-criminal, he should be given the resources to stay and have the opportunity to earn his citizenship. "
1,"The precedent show that this person has abused the privilege or citizenship and cannot be so easily trusted."
0," nice experience good ,i like it very much such as nice"
0,"I believe that if this man hasn't been imprisoned before and not a repeated offender, I think his punishment should be to be deported IF he hasn't tried becoming a citizen in the US. He shows no signs he's done anything criminal wise, and probably just wants a better life. "
0,"He is here illegal. It is a crime"
0,"He should not be sent to prison. Deport him back to his own country. It is wrong to put him into the prison system at the taxpayers expense. Prisons have enough non-violent offenders doing time."
0,"I think they should be given the opportunity to become a u.s. citizen legally, and if they choose not the seek the legal way then they should be deported"
1,"To clarify, I understand that there are laws that may allow undocumented immigrants to be held for some time (e.g. before deportation) as a consequence of the act of immigration itself. But I do not think that this citizen should serve prison time for previous crimes for which he has already faced justice. Deportation is the maximum consequence that he could face and the only infraction in this country for which he has according to the law earned a punishment. But I'm no expert on immigration law so I could be wrong here."
0,"I do not believe it serves any purpose to arrest someone who has no criminal record for entering the country illegally. It would be better to subject them to a means test. Determine whether or not they will have the ability to support themselves in this country. If they can, grant them a path to citizenship. If not, then carry out a second test to determine if they are at risk of harm in their country of origin. If they are at risk, they should be allowed to remain.  If they are not at risk they should be deported."
0,"It would be more effective for the government to help the man become a U.S. citizen. He would then be able to work and contribute by paying taxes, instead of being in prison where he will just consume resources"
0,"Should find out why the man entered the country. Based on the reasons and facts we should then decide to either deport or begin the process of legal immigration. The USA was founded by immigration."
0,"The US should consider if he has family to reunite with and or a job that will allow him to provide for himself.  If he has family, and a source of income, then he should be given a temporary ID, so that we can keep tabs on the person and only deport if he commits some other crime in our country."
1,"Well I think he should be sent back to his own country and not allowed to come back again. He should not be here wasting our resources."
1,"This individual should be deported back to his home country. He has illegally entered the country and since he has a prior conviction for a violent offense he should not be allowed to stay.  I do not believe he should be jailed within our system for this. He has paid for his prior crimes with sentences."
1,"The man broke the law. Whether or not he had a prior record is of no concern to me. He broke a law and should be punished for it. That punishment is likely time in prison and then deportation, both acceptable options. "
1,"I believe that rather than sending him to prison he should be deporting back to his home country.  It doesn't make sense to me why tax payers should pay for him to be housed in a U.S. prison."
1,"If he didn't commit any crimes other than illegally entering the US, he should only be punished for that crime.  The US should deport him for entering the US illegally."
0,"Because he violated the law and entered the country in a wrong manner. So legal actions should be taken against him"
0,"I believe that this man should not be sent to prison because he has never had any previous criminal infractions on his record. He also did nothing wrong. There are murderers that we should be focusing on."
0,"He is just trying to make a better life for himself and family. The is no real damage done."
0,"He should be deported and given the information on how to correctly immigrate to the US."
1,"If he committed a violent crime then he should be kept apart from people until he is ready to return to society. Then he should go through the legal process of coming here."
0,"He should not be sent to prison but instead be deported to his home country. It would cost taxpayers too much money to have a non-citizen in prison."
1,"I think this person should be deported due to his criminal history.  I don't see why money should be spent on him in prison."
0,"While he did break the law by entering the country illegally there are more serious offenses that justify incarceration.  Did the person have any motive for what he did or was planning to do anything?"
0,"I don't know if he should go to prison.  I would have to consider a lot of factors.  Has he been working and contributing to the US or has he been getting assistance and living off the hard work and taxes of legal citizens. Would it be better is he is deported?"
0,"can't blame someone for wanting a better life. he didn't do anything wrong."
1,"They Are a threat. Lock em up."
0,"If the person didn't do anything but that they should  be sent back. No reason to fill our prisons with this type or build a camp for illegals"
1,"Although he is  a citizen of another country he has committed a crime here. He should serve a prison sentence then be deported again."
0,"If this person has no prior convictions, I don't believe they should be imprisoned solely for the immigration offense. The person should be evaluated to see whether they qualify for asylum or some other program that would allow them to remain in the country legally. If not, they should be deported, but not imprisoned. "
1,"If he was just convicted of entering the country illegally, a lifetime sentence seems excessive. He should be deported again, or be given a shorter scentence for enteriing illegally."
0,""
0,"If this person has never committed a crime before, then he perhaps should not go to prison, but he should be deported back to his original country. However, anyone that comes here illegally that is already known to be a criminal should definitely go to prison. The United States is not a charity for the rest of the world to abuse. "
0,"They should probably deport him. Prison seems a little harsh if this is his only crime."
1,"If he has already been in violation of the country's laws and statures, then we should be less lenient in handing out consequences. "
1,"Since the person has a rather long history of criminal actions, he should be imprisoned. He should all be deported back to his own coutry at a later stage for the same reason."
1,"He should be sent to prison because one of his previous crimes was for a violent offense. Also, he had already been deported previously and re-entered the country. So, for these reasons, he should serve time."
1,"The man should be held in prison before being deported. His home country should take him and if they don't then he should be held in prison. This man shouldn't be in the country and should leave as soon as possible."
1,"This person should be deported because one of his previous sentences was for a violent crime. If you're going to be in the U.S. illegally, the least you can do is take advantage of the opportunity and better the circumstances for you and your family. You shouldn't be here doing stupid things like trying to commit violent crimes."
0,"The United States should at worst deport this man.  Sending him to prison would just take up more resources from the country."
0,"I am no expert to give a solution to such a complex problem but prison is not the answer. The prisons are crowded and prisoners are treated like less than human being. Something else should be implemented to take care of situation like this. Someone who'd be paid thousands of dollars to find a solution and would have the expertise."
1,"He had committed a violent crime and had been deported because of it. He's had his chance, and he needs to be """"sent up"""" for a while. And if he does similar in future, he needs to be """"sent up"""" for a longer period of time--so that perhaps--he can learn his lesson."
1,"Because of illegal entry is the act of foreign nationals arriving in or crossing the borders into a country in violation of its immigration law. Human smuggling differs from, but is sometimes associated with, human trafficking. For the act of permanently staying in a country contrary to its laws."
0,"The person had never committed an offense before. If anything, he should be deported back to his own country. "
1,"I think he had previous offenses and that was ok. Why I believe he should be sent to prison was that they had to do with violent crime."
1,"Since the person had been previously deported from the United States and was also previously convicted of a violent crime, I think it's only reasonable that they serve a prison term for breaking the laws of the United States again. They should be sentenced to a minimum of 5 years. If it was the first time they entered the US illegally and had no previous crime record, then I think the course of action would be very different and they shouldn't serve any time."
0,"I don't think illegal immigration should be a crime if no violence occurred. It doesn't make sense to lock someone up for it."
0,""
1,"I think the government should look into the crimes of this individual and determine if he should be deported or not. I think if he is violent, then he should not be in the country. "
1,"If he commited a crime, then he should go to prison. A violent crime is something he shouldn't have been just deported with because most likely he will sneak back in."
1,"I do not believe illegally entering the country should be a crime worthy of imprisonment. Because he committed a crime that got him deported in the past, I feel he should be deported again as punishment. As the person was deported before, it seems that it would be logical to do the same, because it is still a valid punishment from his violent offense."
1,"I feel like the person being in the country illegally being in the United States, is a crime all by itself. And he had served two previous prison sentences each more than a year. One of these previous sentences was for a violent crime and that is a huge thing to be charged with. This person at least should be deported by the U.S government, and also serve jail time if he did a crime here, if not still deportation is the number one priority."
1,"He is a criminal on multiple counts. Keeping him in prison prevents him from committing another offense. He should be deported after his sentence and border patrols increased to keep people like him from returning to the United States. If he has a family, return them with him even if the children are American citizens. This keeps the family together but not here. "
1,"They could send him back to his country of origin.  We don't know that he committed any crime other than entering the country at this time, and he deserves the presumption of innocence we would give to any American citizen."
0,"Generally, I think he should be sent back to his own country without sending prison.  However, I think it would be best that the legal decision about him should be determined based on the reason why he entered in the United States by examining whether he should be sent to prison or sent to his own country."
0,"This country was built on immigration. This person hasn't done anything bad before."
1,"He should not be entering the us illegally but that is not a setious enough crime to warrent prison. I think that he should just pay abfine and be deported."
1,"Of course he should go to prison. He needs to be locked up until we can get him deported and make sure he stays deported. Why should we allow people who come into the country illegally and then commit a violent crime to do anything except go to prison and then be deported....again."
1,"This person should go to prison as a  deterrent for not getting back in our country. He should be sentenced to at least a year in prison, and when his sentence has been served he should be deported to his home country."
1,"He illegally entered the country. He broke the law.  He should go to prison and then be deported."
0,"In general people shouldn't be imprisoned for non violent behavior.  If a person works and pays taxes they should get a path to citizenship"
1,"I genuinely don't feel I have enough evidence on what the prison sentences were and what his reasoning was for entering the United States. They should take into account the prison sentences as well as why he was entering the US illegally and put him on trial based on those."
1,"We should report the person because they have committed a crime that they have ran away from. We should also send this person to prison to prevent any further future violent crimes here in the United States."
0,"I believe that prison should only be for violent crimes or the """"worst of the worst"""" non-violent offenses, like embezzlement of millions of dollars or major drug trafficking. Our prisons are already too crowded. If he's here illegally, then deporting him is enough punishment."
1,"In this situation, it is unclear if the person had served out his sentence in the foreign country for the previous crime.  If he has not been punished, then the U.S. government should put him in prison to serve out the remainder of his sentence.  He should not be placed in prison simply for being in the country illegally. "
1,"I think most offenders are likely to recommit their crimes. If the person was already in prison for a violent crime, they should not be allowed to be in our country illegally. If they came in through legal means, I think this might be a different situation."
0,"Its a small crime at the time. They should just be sent back"
1,"I don't think this person should be sent to prison. I think this person should be sent back to his or her country or fined. I think prison is too harsh of a sentence for someone who simply wants to live in a better place and have some opportunity. Everyone deserves that no matter what their past is like."
1,"He should go to prison because he has shown that he is not willing to follow the law and continues to enter the country illegally. He also has committed violent crimes and will probably continue to do so if he is deported."
1,"I don't think he should be allowed to remain in the country because of his past violent offense. Sending him to prison for an immigration crime is too severe."
1,"Given this prompt, I would prefer more detail in order to genuinely reason one way or another. As is, the history seems risky, however considering only the illegal entry can lead to different conclusions."
1,"I think he should be given a chance to see what he wants to do in the United States, if he commits another crime he should be deported and not welcomed back. I think everyone deserves at least a chance at an opportunity in life, a chance to change and better themselves."
1,"Deporting the person did not keep him from returning, so I would suggest a tough prison sentence.  This might help to deter other criminals from believing they'll have an easier time in the U.S. than in their home country."
1,"He is a violent criminal who has already been deported back to his home country.  He committed another crime by entering the United States illegally.  If he is turned over to immigration authorities and deported again, he may return to the United States.  The public will be safe from him if he is in prison."
0,"Send them back to their originating country. Let them stay and fine them."
0,"He was just trying to get a better life.  Besides, a starving person may enjoy 3 meals a day and thr security of a prison.  This could backfire."
0,"I believe that this person should be sent to prison, because coming here illegally is a crime. Without a green card or becoming a citizen, you should not be here in America. Also alot of them commit crimes and cause problems with other people. The U.S. Government should put them in prison or deport them back to their own country. I believe this is the moral thing to do with the illegals."
1,"Criminals should not be allowed into our country. We have enough American citizens that are criminals to deal with."
1,"First of all illegal entering in any country is crime. And he has a criminal background previous so he must be taught some good lesson in jail."
1,"He should be sent to jail because he is a repeat offender. One of his offenses was a violent crime. If his only crime was illegally entering I would not agree with jail."
0,"with no prior felonies  i feel a fine and return to his country of origin is good enough"
1,"He was already convicted of a violent crime and should not be let back in to this country. He should go to prison if he commits another violent crime. Entering the country isn't something violent so he should be deported and let the other country deal with him. But then he will probably try coming over again so a prison cell might be a better place. I just don't know for sure."
1,"To make a long story, short, he is a threat to society - which is the prime reason someone should go to jail. If he was a benefit to society in any way, he would have shown it by now."
1,"Instead of prison he should be immediately deported. Let him be somebody else's problem."
0,"While I do not think he should be imprisoned in the United states and be a drain on our resources I do think that he should be arrested by law enforcement and deported back to his country and not allowed to come back to the United States in any fashion either legally or illegally and if he is found here again then he should be put in prison."
0,"He didn't commit a horrible crime; he's just in the United States illegally. If he had committed murder or even stole something, then, yes, he should be sent to prison. However, since he has never gone to prison and never committed a crime that harmed anyone, he should be let go. Imprisoning him will just crowd up our already crowded prisons and waste taxpayer dollars. The US government should find a viable way for him to gain citizenship (such as entering a government program)."
1,"No, he served his time but, should be deported back to where he came from. He shouldn't come into the USA illegally."
1,"He committed crimes, and most importantly, violent crimes, so should be convicted on that.  I am not concerned as much with his immigration status, although the fact that he keeps returning after deportation should be taken into account.  I am not judging his origin, just his crimes."
1,"This person just entered the country illegally.  Kick him out.  Prison does not serve any benefit to society here."
0,"The prison system is overloaded anyway. His first offense, which is non-violent. Send him back and have his picture with border patrol."
1,"Because of his past criminal offenses. I think he should be put in jail then sent back."
1,"While I can usually overlook the entering the US """"illegally"""" part, unless there is some type of explanation for the violent crime in the past (i.e - rigged courts / he was being attacked, etc) it isn't the type of person who is likely to change much when here. The US government can either a) pay tax money incarcerating him here in the US or b) extradite him back to his home country, and he can serve his time there."
0,"The offender should have to prove hardship in the country he's from. The government should require this person to prove that he can provide value to the United States."
0,"I do not believe he should be imprisoned for a non violent offense. Instead I believe this person should be detained and sent back to their country of origin."
0,"He should be sent back to his home country. Since he did not commit any other crimes, he has no reason to be kept in a US prison."
1,"He did his sentance for the 2 crimes he commited. I think anyone should be able to come to the united states as long as they obey the rules."
1,"He is a repeat offender thus needs to be sent to prison. But since he's an illegal, he should be sent back to his country of origin. Either solution is suitable."
0,"I believe this person should be deported because this person entered the country illegally. This means that this person is not allowed to stay and should be sent back to their origin."
1,"This individual should be punished because he has entered our country illegally. In addition, he has previously been convicted of violent acts. It poses a risk to other citizens."
1,"If he illegally entered the country then he should be deported back to the country where he is a citizen. Having him serve jail time here will only put a burden on tax payers. Even if he were imprisoned here he would still be illegal so it doesn't solve any problem."
0,"He should be given a path to citizenship."
0,"Since the said offender has no prior criminal record, I don't see any valid reason here to send him to prison. Unless he's a spy, the government should look for other options to deal with this issue."
1,"The government should deport this person as soon as possible. He is a violent offender and has repeatedly broken our laws. Steps need to be taken in order for illegal immigration to stop, if it takes a wall we should build a wall."
0,"He should be process and deported. Prisons are for criminals."
0,"This person has committed a crime that is punishable by being deported to his country of origin.  That is what should happen."
1,"He is a criminal and committed a crime in our country."
1,"Previous sentence of a violent crime."
1,"He should be sent back to his home country, to serve time there for any crimes he's committed there or to be free if he's not wanted for arrest. The solution to illegal immigration isn't keeping people here and in prison, it's sending people back to their homes so that they can do it the right way."
0,"Depending on how long he has been here and what contributions he has made the the country, he should either be allowed to stay and issued the proper documentation, or be sent back to his country.  If he has established roots here and is a contributing member of our society I think he should be considered to allow to stay."
1,"He has previously served jail time and one was for a violent crime.  This is not a good person and he seems to be a danger to the rest of society."
0,"Illegal immigration alone is not a serious enough crime to warrant jail time. A fine seems more appropriate for the crime."
1,"This person should preferably be sent to prison in their home country- deported and then imprisoned there. But if they have already returned, then it would be better to imprison them for first the violent crime and then for the illegal stay/entry. "
1,"The man did not commit a crime except being in the country. Taxpayers should not pay for additional jailing for someone who will be deported eventually."
1,"The offender previously committed a violent crime and was deported. He was directed not to return to this country. People who are not citizens of this country and commit violent crimes here are the kinds of immigrants that we do not want here. The way to prevent them from coming here is by punishing them if they do. Therefore, for reasons of deterrence, the U.S. government should give them a prison sentence before deporting them again. Each time this person is caught here subsequently, the sentence is increased. "
0,"I think there should be a way that people can make it right if they haven't been in other trouble. I would like to see them learn the language and pass the citizenship tests that my mother had to pass to become a citizen. She came here legally."
0,"I do not think he needs to go to prison.  I think he should just be sent back to his home country and told if he wanted to come here, he should do it the correct way."
1,"Sending him to prison would not be an appropriate punishment for illegally entering the country. Sending him to prison should only be done if he was a threat to public safety, but he had done his time for the violent crime already. Sending him home would be preferable."
0,"He didn't do anything to harm anyone and for all we know he could be here looking for a job to better his life. Even though he did come illegally, he was no harm."
0,"He should not be prisoned but deported abck to his country. Ifyou imprison him you are wasting the tax money on him. He doesnot deserve to be in this country so he should be deported."
1,"This person should be deported again and imprisoned in his own country. That is in theory. Legally that is not possible. 

At the very least this illegal immigrant should be deported, yet again! There is not enough room in the federal budget to house illegal immigrants for crimes, violent or not. They need to be sent back as soon as possible to thier legal country of origin. "
1,"This person is a repeat offender. If I ruled the word, the words """"repeat offender"""" would be extricated from the lexicon and would be replaced by """"where did my no good relative that committed a crime disappear to?"""" People that commit crimes should be removed from society, whether that is hard labor camps or incarceration. We do not need these people destroying our beautiful world.The person described is violent and not a good person. They should disappear."
0,"Because everyone has a reason for leaving their country and it's not done lightly. If someone leaves without being imprisoned, it's probably because their life was so hard and they felt they had no choice. I don't think it's fair to imprison someone for doing something illegal that doesn't hurt anyone. People letting off fireworks illegally at 3am in the morning while under the influence of alcohol are far more likely to hurt someone. Do they go to prison? No."
